Source,Compare,Value
1815,8957,0.8659735999999999
1815,11288,0.81346005
1815,19996,0.8138569999999999
1815,20940,0.8019715999999999
1825,6456,0.80022496
1829,1945,0.813118
1829,7719,0.8050541999999999
1838,4469,0.80723804
1848,2984,0.8130497
1848,5806,0.84797496
1848,8514,0.81399715
1848,11246,0.810979
1848,16589,1.0
1848,19904,0.85862136
1854,4037,0.8169506999999999
1854,12617,0.8604838
1854,17250,0.83986044
1856,6083,0.8233908000000001
1878,18544,0.8269468000000001
1885,14342,0.8061158
1897,1712,0.80186474
1902,14284,0.8059919
1902,15535,0.80105543
1902,15573,0.8136643
1906,2476,0.81185776
1906,2486,0.8236908000000002
1906,5848,0.9453731
1906,12238,0.8286751
1906,15981,1.0
1906,16041,0.8443482
1906,16203,0.8480279000000001
1906,19607,0.83111316
1908,6379,0.83247936
1909,14584,0.8111401
1916,10232,0.8096063
1926,18198,0.8467485999999999
1932,16626,0.8062564999999999
1933,1431,0.8115958000000001
1933,2690,0.8137201000000001
1933,10246,0.8047217
1933,11471,0.8345378000000001
1933,16399,0.80458695
1933,17792,0.82430315
1941,650,0.81383884
1941,1174,0.8110727
1941,3350,0.8205698
1941,3783,0.8317588
1941,3809,0.81191605
1941,5397,0.81902415
1941,5539,0.8183406
1941,5743,0.81159073
1941,5817,0.8024104999999999
1941,7028,0.8159229
1941,8804,0.81468964
1941,9034,0.811533
1941,9461,0.8178366
1941,9884,0.8891339
1941,12984,0.85120124
1941,13041,0.8029104
1941,13688,0.8275450999999999
1941,13722,0.804601
1941,13766,0.8508321
1941,15673,0.82073265
1941,18738,0.8036015999999999
1941,18813,0.8054996
1941,19503,0.8044501000000001
1941,20169,0.8484995000000001
1941,20516,0.80404794
1941,21077,0.81963557
1941,21126,0.80027795
1941,21295,0.80155855
1941,21341,0.8245226999999999
1941,21474,0.86967015
1941,21593,0.82833165
1952,117,0.80681664
1952,158,0.8201248
1952,178,0.8760918
1952,317,0.8525575999999999
1952,1030,0.83451337
1952,1446,0.8850959
1952,1466,0.80367136
1952,1623,0.8304268
1952,1875,0.82869315
1952,1946,0.87627095
1952,2204,0.828615
1952,2467,0.81394655
1952,2532,0.8606582
1952,2934,0.8419572
1952,2987,0.8426108
1952,3023,0.854252
1952,3100,0.8043969
1952,3757,0.8672017
1952,5339,0.8368462
1952,5371,0.82242817
1952,6409,0.8336121999999999
1952,6517,0.87861514
1952,6592,0.83804965
1952,8403,0.85331416
1952,8948,0.93538237
1952,9340,0.8884247
1952,10833,0.8071494
1952,12109,0.83690816
1952,12375,0.8488594
1952,13939,0.8438323
1952,14723,0.8040801
1952,15556,1.0
1952,15715,0.8746940000000001
1952,15907,0.86236364
1952,16117,0.80550194
1952,16309,0.80017084
1952,17033,0.80764353
1952,17531,0.86258465
1952,18262,0.9047069
1952,18323,0.8113925000000001
1952,18455,0.8980178
1952,18580,0.8497229
1952,21577,0.80099416
1953,14819,0.8869173
1956,15614,0.8067251
1960,3377,0.8314266
1960,13524,0.80792403
1962,14095,0.80461776
1963,11040,0.80642205
1963,18219,0.8066133000000001
1963,18371,0.84986943
1967,17005,0.80091643
1969,14075,0.80537456
1972,8270,0.81532085
1972,9096,0.8747836999999999
1986,14698,0.82715124
1990,387,0.8447787
1990,13249,0.82023907
1990,13448,0.8091147
1990,14946,0.8079604
1990,16487,0.8226863999999999
1990,17004,0.80335766
1991,13331,0.8193034
1991,13951,0.8072199000000001
1991,17004,0.8616771000000001
1991,18353,0.80316997
2010,2692,0.8055167
2014,426,0.8264075000000001
